"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of community centers and community halls","WS/MP18086/2026-2027/292888","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","24-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","ATUL GARG","GHAZIABAD","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"5","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/185341","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","28-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"6","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/	 MP575/2026-2027/291463","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","C R Patil","NAVSARI","29-Aug-2026","BHARGAV SUMANTRAI PATEL","Payment In-Progress","497845"
"7","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/226384","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","29-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"8","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"9","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"10","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"11","Karnataka","Construction of buildings for training institutions","WS/MP18093/2026-2027/217128","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","05-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"12","Karnataka","Installing tube-wells and borewells","WS/MP18093/2026-2027/217130","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","27-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","375000"
"13","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"14","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"15","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"16","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
