Sr. No.,Calamity Type,Calamity Name,Hon'ble Members of Parliament,Date of Consent,Consent Amount ( ₹ )
1,National Calamity,Flood 2025 in Punjab,Shri Hardeep Singh Puri (2020-26) (2020-2026),2025-11-17,10000000
2,National Calamity,Flood 2025 in Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),2025-11-04,10000000
3,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-11-03,7500000
4,National Calamity,Flood 2025 in Punjab,Shri Sanjay Singh (2024-30) (2024-2030),2025-11-03,10000000
5,National Calamity,Flood 2025 in Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),2025-11-03,10000000
6,National Calamity,Flood 2025 in Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),2025-10-29,10000000
7,National Calamity,Flood 2025 in Punjab,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),2025-10-07,2500000
8,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),2025-10-06,2500000
9,National Calamity,Flood 2025 in Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),2025-09-19,10000000
10,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-04-21,7500000
11,National Calamity,Meppadi landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2025-02-17,7500000
12,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),2025-02-03,2500000
13,State Calamity,Vilangad Landslides 2024,Shri Abdul Wahab (2021-27) (2021-2027),2024-12-08,1000000
14,State Calamity,Wayanad landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,500000
15,State Calamity,Vilangad Landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),2024-12-07,500000
16,State Calamity,Wayanad landslides 2024,Dr. V. Sivadasan (2021-27) (2021-2027),2024-12-04,2500000
17,State Calamity,Wayanad landslides 2024,Shri A. A. Rahim (2022-28) (2022-2028),2024-12-04,2500000
18,State Calamity,Wayanad landslides 2024,Shri Jose K. Mani (2024-30) (2024-2030),2024-11-25,2500000
19,State Calamity,Wayanad landslides 2024,Shri Sandosh Kumar P (2022-28) (2022-2028),2024-10-17,2500000
20,State Calamity,Wayanad landslides 2024,Dr. John Brittas (2021-27) (2021-2027),2024-09-10,2500000
